K	LnPD
7	-1427.3
7	-1456.0
7	-1576.1
7	-1588.2
7	-1456.1
7	-1463.0
8	-1481.9
8	-1462.5
8	-1433.7
8	-1433.4
1	-1426.0
8	-1430.2
8	-1527.2
8	-1428.3
8	-1503.1
8	-1428.8
8	-1429.8
8	-1429.3
8	-1458.4
8	-1434.2
8	-1426.1
1	-1425.3
8	-1464.0
9	-1427.0
9	-1450.4
9	-1423.4
9	-1525.8
9	-1429.4
9	-1427.0
9	-1428.4
9	-1431.0
9	-1485.2
1	-1425.8
9	-1424.1
9	-1426.7
9	-1426.5
9	-1455.4
9	-1427.1
9	-1427.4
10	-1453.8
10	-1490.3
10	-1456.2
10	-1482.5
1	-1426.0
10	-1431.4
10	-1429.0
10	-1445.9
10	-1457.4
10	-1449.3
10	-1531.5
10	-1431.6
10	-1488.1
10	-1427.2
10	-1428.9
1	-1426.3
10	-1467.8
1	-1426.3
2	-1427.2
2	-1449.0
2	-1425.7
2	-1494.6
1	-1426.1
2	-1426.4
2	-1427.1
2	-1425.7
2	-1426.2
2	-1469.6
2	-1426.6
2	-1427.4
2	-1439.5
2	-1445.4
2	-1446.2
1	-1425.8
2	-1468.5
3	-1464.8
3	-1455.8
3	-1440.8
3	-1455.8
3	-1498.1
3	-1425.4
3	-1453.7
3	-1482.1
3	-1449.1
1	-1426.1
3	-1533.1
3	-1571.9
3	-1558.9
3	-1432.7
3	-1531.6
3	-1427.4
4	-1428.8
4	-1574.3
4	-1558.5
4	-1604.1
1	-1425.7
4	-1510.7
4	-1549.3
4	-1579.5
4	-1514.6
4	-1492.3
4	-1582.9
4	-1439.1
4	-1561.6
4	-1548.5
4	-1531.1
1	-1426.8
4	-1601.5
5	-1576.2
5	-1425.1
5	-1510.4
5	-1602.7
5	-1426.6
5	-1533.5
5	-1583.4
5	-1511.0
5	-1467.0
1	-1427.6
5	-1529.6
5	-1428.0
5	-1428.3
5	-1482.4
5	-1461.3
5	-1579.6
6	-1429.1
6	-1427.1
6	-1511.1
6	-1426.2
1	-1426.4
6	-1544.1
6	-1441.4
6	-1429.1
6	-1614.9
6	-1444.7
6	-1427.4
6	-1539.8
6	-1428.9
6	-1424.1
6	-1511.0
1	-1425.8
6	-1496.4
7	-1625.2
7	-1471.6
7	-1465.8
7	-1549.8
7	-1461.3
7	-1606.0
7	-1537.8
7	-1427.7
7	-1559.6
1	-1427.2
