K	LnPD
8	-5140.8
8	-5162.8
8	-4941.9
8	-5067.7
8	-5137.9
8	-5258.6
9	-5191.8
9	-5333.7
9	-4943.6
9	-5081.5
2	-4836.5
9	-5072.9
9	-5101.3
9	-5153.8
9	-4973.4
9	-5010.7
9	-5231.4
9	-5123.7
9	-5222.5
9	-5085.1
9	-5330.5
2	-4835.6
9	-5123.1
10	-5090.1
10	-5300.7
10	-5285
10	-5412.4
10	-5159.7
10	-5316.2
10	-5135.7
10	-5285.6
10	-5224.7
2	-4904.5
10	-5200.6
10	-5329.7
10	-5183.4
10	-5082.7
10	-5493.4
10	-5210.9
2	-4905.7
2	-4905.5
2	-4835.2
3	-4648.8
3	-4648.7
3	-4648
3	-4646.9
2	-4835.9
3	-4647.8
3	-4648.3
3	-4649
3	-4647.6
3	-4650.1
3	-4649.6
3	-4648.1
3	-4648.3
3	-4648.5
3	-4649.7
2	-4836.1
3	-4647.8
4	-4692.5
4	-4694.1
4	-4675.3
4	-4675.4
4	-4680.2
4	-4631
4	-4686
4	-4675
4	-4656.6
2	-4836.4
4	-4681.1
4	-4685.2
4	-4701.5
4	-4657.9
4	-4631.6
4	-4687.9
5	-4783.2
5	-4897.4
5	-5271.4
5	-4711.6
2	-4904.1
5	-5043
5	-4889.3
5	-4915
5	-4694.8
5	-4977.2
5	-4733.3
5	-4861.3
5	-4890.8
5	-4676.9
5	-4970.4
2	-4904.7
5	-4830.7
6	-4884.1
6	-4823.7
6	-4763
6	-4876.2
6	-4951.6
6	-4859.2
6	-4946.5
6	-5005.3
6	-4825
2	-4907.3
6	-4928.2
6	-4841.8
6	-4794.1
6	-4917.5
6	-4900.1
6	-4783.7
7	-5074.8
7	-5050.4
7	-5056.2
7	-5037.1
2	-4836.5
7	-4891.2
7	-5086.2
7	-5312.7
7	-5090.7
7	-5475.4
7	-5376.6
7	-4885
7	-4962.7
7	-4923.3
7	-5138
2	-4835.7
7	-5017
8	-5046.6
8	-5245.7
8	-5163.5
8	-5133.4
8	-5306.3
8	-5443.6
8	-5059.8
8	-4926.6
8	-5053.9
2	-4836.8
