Labels	Kmax	DIC	Trend_Degree	Model
IndivPL+MLMedit15_RUN_000001	02	9709.95	1	BYM
IndivPL+MLMedit15_RUN_000002	02	9763.33	1	BYM
IndivPL+MLMedit15_RUN_000003	02	9812.24	1	BYM
IndivPL+MLMedit15_RUN_000004	02	9749.29	1	BYM
IndivPL+MLMedit15_RUN_000005	02	9758.88	1	BYM
IndivPL+MLMedit15_RUN_000006	02	9766.62	1	BYM
IndivPL+MLMedit15_RUN_000007	02	9789.44	1	BYM
IndivPL+MLMedit15_RUN_000008	02	9716.1	1	BYM
IndivPL+MLMedit15_RUN_000009	02	9764.94	1	BYM
IndivPL+MLMedit15_RUN_000010	02	9747.73	1	BYM
IndivPL+MLMedit15_RUN_000011	02	9751.35	1	BYM
IndivPL+MLMedit15_RUN_000012	02	9750.88	1	BYM
IndivPL+MLMedit15_RUN_000013	02	9727.49	1	BYM
IndivPL+MLMedit15_RUN_000014	02	9742.93	1	BYM
IndivPL+MLMedit15_RUN_000015	02	9787.65	1	BYM
IndivPL+MLMedit15_RUN_000016	03	9316.6	1	BYM
IndivPL+MLMedit15_RUN_000017	03	9271.3	1	BYM
IndivPL+MLMedit15_RUN_000018	03	9352.97	1	BYM
IndivPL+MLMedit15_RUN_000019	03	9245.91	1	BYM
IndivPL+MLMedit15_RUN_000020	03	9274.28	1	BYM
IndivPL+MLMedit15_RUN_000021	03	9277.61	1	BYM
IndivPL+MLMedit15_RUN_000022	03	9322.17	1	BYM
IndivPL+MLMedit15_RUN_000023	03	9316.14	1	BYM
IndivPL+MLMedit15_RUN_000024	03	9313.82	1	BYM
IndivPL+MLMedit15_RUN_000025	03	9278.82	1	BYM
IndivPL+MLMedit15_RUN_000026	03	9487.37	1	BYM
IndivPL+MLMedit15_RUN_000027	03	9284.9	1	BYM
IndivPL+MLMedit15_RUN_000028	03	9258.49	1	BYM
IndivPL+MLMedit15_RUN_000029	03	9244.15	1	BYM
IndivPL+MLMedit15_RUN_000030	03	9323.04	1	BYM
IndivPL+MLMedit15_RUN_000031	04	9109.81	1	BYM
IndivPL+MLMedit15_RUN_000032	04	9250.79	1	BYM
IndivPL+MLMedit15_RUN_000033	04	9309.93	1	BYM
IndivPL+MLMedit15_RUN_000034	04	9194.95	1	BYM
IndivPL+MLMedit15_RUN_000035	04	9097.18	1	BYM
IndivPL+MLMedit15_RUN_000036	04	9164.74	1	BYM
IndivPL+MLMedit15_RUN_000037	04	9027.84	1	BYM
IndivPL+MLMedit15_RUN_000038	04	9270.54	1	BYM
IndivPL+MLMedit15_RUN_000039	04	9259.13	1	BYM
IndivPL+MLMedit15_RUN_000040	04	9193.36	1	BYM
IndivPL+MLMedit15_RUN_000041	04	9153.72	1	BYM
IndivPL+MLMedit15_RUN_000042	04	9265.92	1	BYM
IndivPL+MLMedit15_RUN_000043	04	9134.99	1	BYM
