Labels	Kmax	DIC	Trend_Degree	Model
IndivPL_RUN_000008	02	2706.13	1	BYM
IndivPL_RUN_000009	02	2706.13	1	BYM
IndivPL_RUN_000010	02	2714.1	1	BYM
IndivPL_RUN_000011	02	2737	1	BYM
IndivPL_RUN_000012	02	2682.16	1	BYM
IndivPL_RUN_000013	02	2682.16	1	BYM
IndivPL_RUN_000014	02	2715.82	1	BYM
IndivPL_RUN_000015	02	2727.84	1	BYM
IndivPL_RUN_000016	02	2727.84	1	BYM
IndivPL_RUN_000017	02	2724.5	1	BYM
IndivPL_RUN_000018	02	2676.22	1	BYM
IndivPL_RUN_000019	02	2753.48	1	BYM
IndivPL_RUN_000020	02	2753.48	1	BYM
IndivPL_RUN_000021	02	2733.35	1	BYM
IndivPL_RUN_000022	02	2792.56	1	BYM
IndivPL_RUN_000023	03	2694	1	BYM
IndivPL_RUN_000024	03	2656	1	BYM
IndivPL_RUN_000025	03	2611.34	1	BYM
IndivPL_RUN_000026	03	2643.96	1	BYM
IndivPL_RUN_000027	03	2643.96	1	BYM
IndivPL_RUN_000028	03	2631.98	1	BYM
IndivPL_RUN_000029	03	2670	1	BYM
IndivPL_RUN_000030	03	2568.8	1	BYM
IndivPL_RUN_000031	03	2662.34	1	BYM
IndivPL_RUN_000032	03	2635.62	1	BYM
IndivPL_RUN_000033	03	2625.95	1	BYM
IndivPL_RUN_000034	03	2665.36	1	BYM
IndivPL_RUN_000035	03	2634.08	1	BYM
IndivPL_RUN_000036	03	2605.01	1	BYM
IndivPL_RUN_000037	03	2702.87	1	BYM
IndivPL_RUN_000038	04	2510.11	1	BYM
IndivPL_RUN_000039	04	2564.31	1	BYM
IndivPL_RUN_000040	04	2577.61	1	BYM
IndivPL_RUN_000041	04	2566.15	1	BYM
IndivPL_RUN_000042	04	2583.02	1	BYM
IndivPL_RUN_000043	04	2635.22	1	BYM
IndivPL_RUN_000044	04	2633.58	1	BYM
IndivPL_RUN_000045	04	2507.91	1	BYM
IndivPL_RUN_000046	04	2642.29	1	BYM
IndivPL_RUN_000047	04	2546.36	1	BYM
IndivPL_RUN_000048	04	2581.46	1	BYM
IndivPL_RUN_000049	04	2644.13	1	BYM
IndivPL_RUN_000050	04	2599.32	1	BYM
IndivPL_RUN_000051	04	2577.78	1	BYM
IndivPL_RUN_000052	04	2650.36	1	BYM
IndivPL_RUN_000053	05	2538.29	1	BYM
IndivPL_RUN_000054	05	2543.19	1	BYM
IndivPL_RUN_000055	05	2572.52	1	BYM
IndivPL_RUN_000056	05	2509.83	1	BYM
IndivPL_RUN_000057	05	2542.3	1	BYM
IndivPL_RUN_000058	05	2513.88	1	BYM
IndivPL_RUN_000059	05	2504.34	1	BYM
IndivPL_RUN_000060	05	2481.7	1	BYM
IndivPL_RUN_000061	05	2540.46	1	BYM
IndivPL_RUN_000062	05	2512.31	1	BYM
IndivPL_RUN_000063	05	2573.19	1	BYM
IndivPL_RUN_000064	05	2490.51	1	BYM
IndivPL_RUN_000065	05	2531.85	1	BYM
IndivPL_RUN_000066	05	2480.56	1	BYM
IndivPL_RUN_000067	05	2574.85	1	BYM
IndivPL_RUN_000068	06	2571.94	1	BYM
IndivPL_RUN_000069	06	2527.62	1	BYM
IndivPL_RUN_000070	06	2499.78	1	BYM
IndivPL_RUN_000071	06	2530.04	1	BYM
IndivPL_RUN_000072	06	2480.77	1	BYM
IndivPL_RUN_000073	06	2499.44	1	BYM
IndivPL_RUN_000074	06	2497.73	1	BYM
IndivPL_RUN_000075	06	2454.58	1	BYM
IndivPL_RUN_000076	06	2515.46	1	BYM
IndivPL_RUN_000077	06	2480.07	1	BYM
