Annees	Couts	techniques
2000	98456239,32	Puces_ADN
2001	80354317,59	Am_puces
2002	59093798,51	Am_puces
2003	28008953,85	Seq_gen_humain
2004	17444644,16	Manteia's_Clustering_Technology
2005	12761950,9	454_Life_Sciences
2006	9992687,439	Solexa
2007	4180414,197	Applied_Biosystems
2008	321390,5837	Seq_JC_Venter
2009	64449,70101	Seq_JD_Watson
2010	24588,05036	Debut_epigenomique
2011	7947,60219	Pacific_Biosciences
2012	6015,721505	Oxford_Nanopore
2013	5535,987503	NNGS
2014	4891,085383	HSeqXTen
2015	2697,216326	MicNeSs
